,R_0,R_1,R_2,R_3,R_4,City_State,County_Name,Secondary_Name,State
170,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Twombly UT,ME
171,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Webster plantation,ME
172,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Whitney UT,ME
173,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Winn town,ME
174,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Woodville town,ME
175,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Barnstable Town city,MA
176,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Bourne town,MA
177,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Brewster town,MA
178,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Chatham town,MA
179,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Dennis town,MA
180,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Eastham town,MA
181,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Falmouth town,MA
182,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Harwich town,MA
183,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Mashpee town,MA
184,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Orleans town,MA
185,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Provincetown town,MA
186,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Sandwich town,MA
187,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Truro town,MA
188,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Wellfleet town,MA
189,1043,1215,1600,2029,2167,"Barnstable Town, MA MSA",Barnstable County,Yarmouth town,MA
190,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",Ascension Parish,Ascension Parish,LA
191,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",East Baton Rouge Parish,East Baton Rouge Parish,LA
192,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",East Feliciana Parish,East Feliciana Parish,LA
193,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",Livingston Parish,Livingston Parish,LA
194,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",Pointe Coupee Parish,Pointe Coupee Parish,LA
195,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",St. Helena Parish,St. Helena Parish,LA
196,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",West Baton Rouge Parish,West Baton Rouge Parish,LA
197,726,813,958,1227,1531,"Baton Rouge, LA HUD Metro FMR Area",West Feliciana Parish,West Feliciana Parish,LA
198,564,649,739,948,1001,"Iberville Parish, LA HUD Metro FMR Area",Iberville Parish,Iberville Parish,LA
199,548,669,841,1089,1139,"Battle Creek, MI MSA",Calhoun County,Calhoun County,MI
200,513,598,787,1042,1066,"Bay City, MI MSA",Bay County,Bay County,MI
201,663,732,912,1186,1256,"Beaumont-Port Arthur, TX HUD Metro FMR Area",Hardin County,Hardin County,TX
202,663,732,912,1186,1256,"Beaumont-Port Arthur, TX HUD Metro FMR Area",Jefferson County,Jefferson County,TX
203,663,732,912,1186,1256,"Beaumont-Port Arthur, TX HUD Metro FMR Area",Orange County,Orange County,TX
204,521,575,714,979,982,"Newton County, TX HUD Metro FMR Area",Newton County,Newton County,TX
205,610,622,715,965,969,"Fayette County, WV HUD Metro FMR Area",Fayette County,Fayette County,WV
206,697,718,817,1049,1376,"Raleigh County, WV HUD Metro FMR Area",Raleigh County,Raleigh County,WV
207,882,944,1225,1767,2151,"Bellingham, WA MSA",Whatcom County,Whatcom County,WA
208,893,1050,1275,1839,2239,"Bend-Redmond, OR MSA",Deschutes County,Deschutes County,OR
209,617,719,947,1332,1613,"Billings, MT HUD Metro FMR Area",Carbon County,Carbon County,MT
210,617,719,947,1332,1613,"Billings, MT HUD Metro FMR Area",Yellowstone County,Yellowstone County,MT
211,493,574,756,1091,1287,"Golden Valley County, MT HUD Metro FMR Area",Golden Valley County,Golden Valley County,MT
212,637,666,862,1125,1287,"Binghamton, NY MSA",Broome County,Broome County,NY
213,637,666,862,1125,1287,"Binghamton, NY MSA",Tioga County,Tioga County,NY
214,875,937,1073,1404,1551,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,Bibb County,AL
215,875,937,1073,1404,1551,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,Blount County,AL
216,875,937,1073,1404,1551,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,Jefferson County,AL
217,875,937,1073,1404,1551,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,St. Clair County,AL
218,875,937,1073,1404,1551,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,Shelby County,AL
219,648,684,779,1124,1224,"Chilton County, AL HUD Metro FMR Area",Chilton County,Chilton County,AL
220,594,598,787,981,1094,"Walker County, AL HUD Metro FMR Area",Walker County,Walker County,AL
221,738,742,948,1320,1568,"Bismarck, ND HUD Metro FMR Area",Burleigh County,Burleigh County,ND
222,738,742,948,1320,1568,"Bismarck, ND HUD Metro FMR Area",Morton County,Morton County,ND
223,756,761,974,1321,1583,"Oliver County, ND HUD Metro FMR Area",Oliver County,Oliver County,ND
224,539,542,714,890,1108,"Sioux County, ND HUD Metro FMR Area",Sioux County,Sioux County,ND
225,852,933,1062,1532,1865,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",Montgomery County,Montgomery County,VA
226,852,933,1062,1532,1865,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",Radford city,Radford city,VA
227,609,627,714,1030,1254,"Floyd County, VA HUD Metro FMR Area",Floyd County,Floyd County,VA
228,516,618,765,956,1203,"Giles County, VA HUD Metro FMR Area",Giles County,Giles County,VA
229,659,673,772,1050,1317,"Pulaski County, VA HUD Metro FMR Area",Pulaski County,Pulaski County,VA
230,621,694,886,1243,1525,"Bloomington, IL  HUD Metro FMR Area",McLean County,McLean County,IL
231,561,565,698,942,946,"De Witt County, IL HUD Metro FMR Area",De Witt County,De Witt County,IL
232,683,729,930,1243,1633,"Bloomington, IN HUD Metro FMR Area",Monroe County,Monroe County,IN
233,566,569,714,985,1254,"Owen County, IN HUD Metro FMR Area",Owen County,Owen County,IN
234,687,691,828,1032,1289,"Columbia County, PA HUD Metro FMR Area",Columbia County,Columbia County,PA
235,725,730,899,1148,1218,"Montour County, PA HUD Metro FMR Area",Montour County,Montour County,PA
236,645,786,990,1416,1628,"Boise City, ID HUD Metro FMR Area",Ada County,Ada County,ID
